,County,Jurisdiction,Effective Date
0,Caledonia,Barnet,"April, 2013"
1,Orange,Newbury,"October, 2017"
2,Essex,Concord,"April, 2022"
3,Essex,Lewis,"July, 2008"
4,Essex,Brighton,"March, 2012"
5,Essex,Norton,"July, 2014"
6,Windham,Westminster,"July, 2017"
7,Windsor,WoodstockTown,"August, 2017"
8,Windsor,LudlowTown,"January, 2019"
9,Orleans,Greensboro,"April, 2015"
10,Caledonia,SaintJohnsbury,"October, 2020"
11,Windsor,Springfield,"June, 2020"
12,Orleans,Morgan,"December, 2012"
13,Orleans,Barton,"August, 2018"
14,Windham,Whitingham,"October, 2021"
15,Essex,Canaan,"March, 2018"
16,Windham,Windham,"September, 2019"
17,Windsor,Weston,"March, 2014"
18,Windham,Londonderry,"May, 2020"
19,Orange,Chelsea,"November, 2017"
20,Caledonia,Stannard,"May, 2009"
21,Orange,Braintree,"March, 2010"
22,Caledonia,Danville,"June, 2022"
23,Windsor,WestWindsor,"January, 2018"
24,Windham,Stratton,"March, 2016"
25,Orange,Washington,"December, 2007"
26,Windsor,Stockbridge,"November, 2018"
27,Windsor,WoodstockVillage,"April, 2014"
28,Orleans,Westmore,"November, 2020"
29,Windham,Dover,"March, 2013"
30,Windham,Marlboro,"January, 2018"
31,Essex,Lemington,"January, 1990"
32,Orleans,Troy,"June, 2022"
33,Windsor,LudlowVillage,"January, 2019"
34,Bennington,Peru,"January, 2024"
35,Windham,Rockingham,"November, 2019"
36,Windham,Wardsboro,"September, 2008"
37,Essex,Averill,"July, 2008"
38,Essex,WarnersGrant,"July, 2008"
39,Essex,Granby,"December, 2011"
40,Caledonia,Lyndon,"November, 2018"
41,Caledonia,Sutton,"May, 2018"
42,Essex,WarrensGore,"July, 2008"
43,Caledonia,Burke,"April, 2018"
44,Orange,Fairlee,"July, 2023"
45,Windham,Brattleboro,"August, 2023"
46,Caledonia,Ryegate,"January, 2017"
47,Orange,Randolph,"February, 2020"
48,Caledonia,Peacham,"March, 2017"
49,Essex,AverysGore,"July, 2008"
50,Essex,Ferdinand,"July, 2008"
51,Windsor,Windsor,"April, 2023"
52,Windsor,Reading,"July, 2019"
53,Caledonia,Waterford,"March, 2024"
54,Essex,Maidstone,"February, 2016"
55,Essex,Brunswick,"March, 1989"
56,Caledonia,Kirby,"November, 2022"
57,Windsor,Pomfret,"May, 2020"
58,Windham,Wilmington,"April, 2024"
59,Windsor,Plymouth,"July, 2013"
60,Orleans,Lowell,"August, 2023"
61,Essex,Guildhall,"September, 2013"
62,Orange,Brookfield,"April, 2010"
63,Caledonia,Groton,"May, 2023"
64,Caledonia,Hardwick,"October, 2022"
65,Orleans,Jay,"May, 2023"
66,Orleans,NewportTown,"May, 2018"
67,Orleans,NewportCity,"January, 2019"
68,Orange,Strafford,"November, 2023"
69,Windsor,Norwich,"July, 2009"
70,Orange,BradfordTown,"December, 2019"
71,Franklin,Enosburgh Falls,11282017
72,Addison,Monkton,03072023
73,Franklin,Bakersfield,03072017
74,Chittenden,Huntington,03072023
75,Chittenden,Burlington,01252023
76,Bennington,North Bennington,03042014
77,Chittenden,Bolton,11072022
78,Addison,Ripton,10082018
79,Addison,Vergennes,06142022
80,Lamoille,Morristown,11062023
81,Bennington,Readsboro,06232021
82,Chittenden,Hinesburg,05102023
83,Chittenden,Williston,06042024
84,Franklin,Swanton,06262001
85,Rutland,Pawlet,08032021
86,Rutland,Tinmouth,10132005
87,Addison,Lincoln,12052023
88,Chittenden,Saint George,09192019
89,Windham,,11052019
90,Windsor,Ludlow,01072019
91,Rutland,West Haven,04242014
92,Addison,Panton,07112017.doc_
93,Rutland,Sudbury,01102022
94,Bennington,Rupert,09132011
95,Chittenden,Colchester,01152015
96,Rutland,Brandon,07272020
97,Rutland,Rutland (City),12082020
98,Bennington,Glastenbury,07152021
99,Chittenden,Bolton,10172022
100,Rutland,West Rutland,01102023
101,Addison,Starksboro,01282020
102,Addison,Bristol,03072017
103,Addison,Cornwall,02052008
104,Franklin,Highgate,03262015
105,Chittenden,Essex Junction,12132016
106,Lamoille,Hyde Park (Town),06152022
107,Bennington,Dorset,09122023
108,Addison,Bridport,08222006
109,Bennington,Shaftsbury,03072023
110,Franklin,Montgomery,112018
111,Addison,Ferrisburgh,03022021
112,Chittenden,Westford,06142024
113,Bennington,Manchester,06012022
114,Addison,Waltham,09092019
115,Franklin,Saint Albans Town,09072022
116,Franklin,Franklin,01072013
117,Addison,Shoreham,01312024
118,Lamoille,Elmore,02022005
119,Franklin,Fairfield,02102020
120,Bennington,Winhall,03062018
121,Franklin,Sheldon,03162015
122,Franklin,Fletcher,03192018
123,Bennington,Arlington,10112023
124,Addison,Orwell,03052019
125,Rutland,Benson,04162018
126,Addison,Goshen,04112008
127,Franklin,Saint Albans City,03042024
128,Chittenden,Milton,01032023
129,Rutland,Shrewsbury,112022
130,Lamoille,Stowe (Town),06132022
131,Addison,Whiting,12292005
132,Bennington,Bennington-Landgrove,01252024
133,Lamoille,Stowe (Town) - Stowe (Village),07032017
134,Rutland,Fair Haven,12122023
135,Addison,Salisbury,05122015
136,Rutland,Proctor,03132017
137,Franklin,Enosburgh,01072019
138,Bennington,Pownal,08122021
139,Bennington,Manchester Village,07282014
140,Rutland,Killington,02122024
141,Chittenden,Essex,02282017
142,Rutland,Clarendon,02142011
143,Addison,Middlebury,09132022
144,Rutland,Wallingford,08172015
145,Rutland,Shrewsbury,12072022
146,Chittenden,Winooski,05272024
147,Bennington,Sunderland,08032020
148,Bennington,Old Bennington,04072020
149,Addison,Leicester,04102017
150,Chittenden,Richmond,05232022
151,Chittenden,Underhill,03032020
152,Addison,Addison,11272007
153,Rutland,Pittsford,04112019
154,Addison,NewHaven,042024
155,Orleans,Westfield,031824
156,Bennington,Stamford,10232020
157,Rutland,Hubbardton,06202019
158,Bennington,Berkshire,02182019
159,Rutland,Castleton,06282021
160,Orange,ChelseaFloodHazard,11072017
161,Franklin,Fairfax,09192016
162,Chittenden,Jericho,02102022
163,Bennington,Bennington,05232022
164,Rutland,Mendon,03232010
165,Chittenden,Buel's Gore,08232010
166,Lamoille,Wolcott,11082016
167,Rutland,Poultney,05092022
168,Addison,Weybridge,01032017
169,Bennington,Sandgate,02182013
170,Orleans,Westfield,011310
171,Chittenden,Charlotte,11082022
172,Bennington,Woodford,07152020
173,Franklin,Richford,10072019
174,Franklin,Georgia,05022022
