Abbreviated District Name,BV,Units/Special,BR,Units/Special,RR 2,Units/Special,RR5,Units/Special,PVHD,Units/Special,FR,Units/Special,R11,Units/Special
County,Bennington,,Bennington,,Bennington,,Bennington,,Bennington,,Bennington,,Bennington,
Jurisdiction,Peru,,Peru,,Peru,,Peru,,Peru Village Historic District,,Peru,,Peru,
Full District Name,Bromley Village,,Bromley Resort,,Rural Residential 2,,Rural Residential-5,,Peru,,Forest Recreation,,Route 11 Corridor Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,,,Intersects with route 11 overlay,,Intersects with route 11 overlay,,,,,,Overlays RR-2 and RR-5,
1-Family Dimensions,,,,,,,,,,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,5,Acres Per Treatment,0.25,Acres Per Treatment,,,,N/A
Front Setback (ft),55,Feet,100,Feet,75,Feet,75,Feet,55,Feet,,,100,Feet
Side Setback (ft),25,Feet,75,Feet,25,Feet,50,Feet,25,Feet,,,100,Feet
Rear Setback (ft),25,Feet,75,Feet,25,Feet,50,Feet,25,Feet,,,100,Feet
Frontage (ft),50,Feet,25,Feet,75,Feet,200,Feet,75,Feet,,,,N/A
Max. Lot Coverage - Buildings (%),15,Percent,15,Percent,15,Percent,15,Percent,35,Percent,,,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A
Minimum Parking Spaces,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A
Max. Height (ft),35,Feet,25,Feet,35,Feet,35,Feet,35,Feet,,,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A
2-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,,,,N/A
Elderly Housing Only,No,,No,,No,,No,,No,,,,,N/A
Minimum Lot Size (acres),0.5,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,5,Acres Per Treatment,0.25,Acres Per Treatment,,,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A
Front Setback (ft),55,Feet,100,Feet,75,Feet,75,Feet,55,Feet,,,100,Feet
Side Setback (ft),25,Feet,75,Feet,25,Feet,50,Feet,25,Feet,,,100,Feet
Rear Setback (ft),25,Feet,75,Feet,25,Feet,50,Feet,25,Feet,,,100,Feet
Frontage (ft),50,Feet,25,Feet,75,Feet,200,Feet,75,Feet,,,,N/A
Max. Lot Coverage - Buildings (%),15,Percent,15,Percent,15,Percent,15,Percent,35,Percent,,,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A
