Abbreviated District Name,VMU,Units/Special,VR,Units/Special,AR I,Units/Special,AR II,Units/Special,R,Units/Special,CSO,Units/Special,FHO,Units/Special
County,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,,Caledonia,
Jurisdiction,Burke,,Burke,,Burke,,Burke,,Burke,,Burke,,Burke,
Full District Name,Village Mixed Use,,Village Residential,,Agricultural-Residential I,,Agricultural-Residential II,,Resort,,Scenic and Conservation Overlay,,Flood Hazard Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,
Overlay District?,No,,No,,No,,No,,No,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Primarily residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Overlay not Affecting Use,,Nonresidential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,
3-Family Allowed?,Public Hearing Required,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,
5+-Family Allowed?,Public Hearing Required,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,
Notes - Write any explanations here.,,,,,,,,,,,"""Proposed development in the Scenic Conservation
Overlay that involves the creation of two or more lots over a five-year period shall
be reviewed as a Planned Unit Development in accordance with Article 7 of this
bylaw […] All other pplicable proposed development located in the SCO
shall be subjected to Conditional Use Review"" (Page 14).",,"""The following forms of development are prohibited in all hazard
areas […] New residential development "" (Page 40).",
1-Family Dimensions,,,,,,,,,,,,,,
Minimum Lot Size (acres),Off-Lot Water and Sewer: 0.25 acres; Off-Lot Water or Sewer: 0.35 acres; Neither Off-Lot Water or Sewer: 0.75 acres,Contextual,Off-Lot Water and/or Sewer: 0.5 acres; Neither Off-Lot Water or Sewer: 1 acres,Contextual,2,Acres Per Treatment,5,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Front Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 40 feet; Neither Off-Lot Water or Sewer: 55 feet,Contextual,40,Feet,75,Feet,75,Feet,75,Feet,,Feet,,Feet
Side Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 10 feet; Neither Off-Lot Water or Sewer: 15 feet,Contextual,15,Feet,50,Feet,50,Feet,50,Feet,,Feet,,Feet
Rear Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 15 feet; Neither Off-Lot Water or Sewer: 25 feet,Contextual,25,Feet,100,Feet,100,Feet,100,Feet,,Feet,,Feet
Frontage (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 80 feet; Neither Off-Lot Water or Sewer: 150 feet,Contextual,Off-Lot Water and/or Sewer: 100 feet; Neither Off-Lot Water or Sewer: 150 feet,Contextual,200,Feet,300,Feet,200,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet
2-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,,,No,,,,,
Elderly Housing Only,No,,No,,No,,,,No,,,,,
Minimum Lot Size (acres),Off-Lot Water and Sewer: 0.25 acres; Off-Lot Water or Sewer: 0.35 acres; Neither Off-Lot Water or Sewer: 0.75 acres,Contextual,Off-Lot Water and/or Sewer: 0.5 acres; Neither Off-Lot Water or Sewer: 1 acres,Contextual,2,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre
Front Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 40 feet; Neither Off-Lot Water or Sewer: 55 feet,Contextual,40,Feet,75,Feet,,Feet,75,Feet,,Feet,,Feet
Side Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 10 feet; Neither Off-Lot Water or Sewer: 15 feet,Contextual,15,Feet,50,Feet,,Feet,50,Feet,,Feet,,Feet
Rear Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 15 feet; Neither Off-Lot Water or Sewer: 25 feet,Contextual,25,Feet,100,Feet,,Feet,100,Feet,,Feet,,Feet
Frontage (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 80 feet; Neither Off-Lot Water or Sewer: 150 feet,Contextual,Off-Lot Water and/or Sewer: 100 feet; Neither Off-Lot Water or Sewer: 150 feet,Contextual,200,Feet,,Feet,200,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,Square Feet
3-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,,,No,,,,No,,,,,
Elderly Housing Only,No,,,,No,,,,No,,,,,
Minimum Lot Size (acres),Off-Lot Water and Sewer: 0.25 acres; Off-Lot Water or Sewer: 0.35 acres; Neither Off-Lot Water or Sewer: 0.75 acres,Contextual,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,N/A,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre
Front Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 40 feet; Neither Off-Lot Water or Sewer: 55 feet,Contextual,,Feet,75,Feet,,Feet,75,Feet,,Feet,,Feet
Side Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 10 feet; Neither Off-Lot Water or Sewer: 15 feet,Contextual,,Feet,50,Feet,,Feet,50,Feet,,Feet,,Feet
