Abbreviated District Name,RL,Units/Special,LD,Units/Special,MD,Units/Special,HD,Units/Special,LAKE,Units/Special
County,Essex,,Essex,,Essex,,Essex,,Essex,
Jurisdiction,Concord,,Concord,,Concord,,Concord,,Concord,
Full District Name,Rural Lands,,Low Density,,Medium Density,,High Density,,Lakeshore,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Primarily residential,
Affordable Housing District?,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,
3-Family Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,
4+-Family Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,
5+-Family Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,
Minimum Lot Size (acres),1,Acres Per Treatment,5,Acres Per Treatment,2,Acres Per Treatment,0.46,Acres Per Treatment,2,Acres Per Treatment
Front Setback (ft),50,Feet,50,Feet,25,Feet,25,Feet,35,Feet
Side Setback (ft),25,Feet,50,Feet,25,Feet,10,Feet,35,Feet
Rear Setback (ft),25,Feet,50,Feet,25,Feet,10,Feet,35,Feet
Frontage (ft),200,Feet,200,Feet,150,Feet,100,Feet,150,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,n,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,,
Minimum Lot Size (acres),1,Acres Per Treatment,5,Acres Per Treatment,2,Acres Per Treatment,0.46,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),0.2,Units Per Acre,0.4,Units Per Acre,1,Units Per Acre,4.3,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,50,Feet,25,Feet,25,Feet,,Feet
Side Setback (ft),25,Feet,50,Feet,25,Feet,10,Feet,,Feet
Rear Setback (ft),25,Feet,50,Feet,25,Feet,10,Feet,,Feet
Frontage (ft),200,Feet,200,Feet,150,Feet,100,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio
