Abbreviated District Name,V,,RR,Units/Special,F,Units/Special,FHAO,Units/Special
County,Essex,,Essex,,Essex,,Essex,
Jurisdiction,Granby,,Granby,,Granby,,Granby,
Full District Name,Village,,Rural Residential,,Forest,,Flood Hazard Area Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,
Affordable Housing District?,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,
3-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Prohibited,
4+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Prohibited,
5+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Prohibited,
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Prohibited,
Notes - Write any explanations here.,,,,,,,All new structures are prohibited in this zone.,
1-Family Dimensions,,,,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.75,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment
Front Setback (ft),30,Feet,50,Feet,100,Feet,,Feet
Side Setback (ft),20,Feet,50,Feet,100,Feet,,Feet
Rear Setback (ft),20,Feet,50,Feet,100,Feet,,Feet
Frontage (ft),100,Feet,250,Feet,300,Feet,,Feet
Max. Lot Coverage - Buildings (%),2500 square feet,Contextual,2500 square feet,Contextual,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces,,N/A,,N/A,,N/A,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet
2-Family Dimensions,,,,,,,,
Affordable Housing Only,No,,No,,,,,
Elderly Housing Only,No,,No,,,,,
Minimum Lot Size (acres),1,Acres Per Treatment,1.5,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),2,Units Per Acre,1.33,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),30,Feet,50,Feet,,Feet,,Feet
Side Setback (ft),20,Feet,50,Feet,,Feet,,Feet
Rear Setback (ft),20,Feet,50,Feet,,Feet,,Feet
Frontage (ft),100,Feet,250,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),2500 square feet,Contextual,2500 square feet,Contextual,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,Percent
