Abbreviated District Name,VIL,Units/Special,A/R,Units/Special,CON,Units/Special,FHO,Units/Special,PL,Units/Special,SLO,Units/Special,SP,Units/Special
County,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,
Jurisdiction,Brookfield,,Brookfield,,Brookfield,,Brookfield,,Brookfield,,Brookfield,,Brookfield,
Full District Name,Village,,Agricultural/Residential,,Conservation,,Flood Hazard,,Public Lands,,Shoreland,,Scenic Protection,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,Yes,,No,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Overlay not Affecting Use,,Nonresidential,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Overlay,,Prohibited,,Overlay,,Overlay,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,,Prohibited,,Overlay,,Prohibited,
3-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Overlay,,Prohibited,,Prohibited,,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Overlay,,Prohibited,,Prohibited,,Prohibited,
5+-Family Allowed?,Public Hearing Required,,Prohibited,,Prohibited,,Overlay,,Prohibited,,Prohibited,,Prohibited,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Not Mentioned,,Prohibited,,Not Mentioned,,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,Acreage is exclusive of areas with a slope of 25 percent or more or that are Class 1 or 2 wetlands under the Vermont Wetland Rules,,,,One family dwelling only allowed in Steep Slope Conservation Areas. ,,"Overlay makes all new building construction conditional (with public hearing). Development in the floodway areas is prohibited unless proven to not affect base flood levels by an engineer. Residential and commercial development in special flood hazard areas must be elevated to or above the base flood elevation; all development in special flood hazard areas must be anchored to prevent movement during flooding, constructed with materials resistant to flood damage and with methods that minimize damage, and heating/electricity/plumbing/etc. located so as to prevent water from entering during flooding.",,Public parks and recreation - specific permitted and conditional uses in Section 2.1.D.,,"Area around Sunset Lake zoned as general development, areas around Baker, Lamson, North and Rood Ponds classified as recreational. Overlay allows 1-family treatment in underlying districts that also permit this with specified setbacks; 2-family treatment under this overlay requires a public hearing. Required erosion protection measured can be found in the Shoreland Bylaws document Article VI.",,Overlay allows 1-family treatment with public hearing in base districts that also permit 1-family treatment. ,
1-Family Dimensions,,,,,,,,,,,,,,
Minimum Lot Size (acres),0.5 acre /existing pond village; 1 acre/extended pond village; 3/east brookfield,Alternative,5,Acres Per Treatment,25,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A,25,Acres Per Treatment
Front Setback (ft),40,Feet,"65'; 50'/natural ponds; 75'/wetlands, streams + rivers",Alternative,"65'; 75'/streams, wetlands, ponds + rivers",Alternative,,N/A,,Feet,50'; 75'/recreational ponds; 25'/general dev. pond; 65'/public highway,Alternative,200,Feet
Side Setback (ft),20'/existing pond village; 25'/extended village + east brookfield,Alternative,"50'; 75'/wetlands, streams + rivers",Alternative,"50'; 75'/streams, wetlands, ponds + rivers",Alternative,,N/A,,Feet,50'; 75'/recreational ponds; 25'/general dev. pond; 65'/public highway,Alternative,"50'; 75'/wetlands, ponds, streams + rivers",Alternative
Rear Setback (ft),20'/existing pond village; 25'/extended village + east brookfield,Alternative,"50'; 75'/wetlands, streams + rivers",Alternative,"50'; 75'/streams, wetlands, ponds + rivers",Alternative,,N/A,,Feet,50'; 75'/recreational ponds; 25'/general dev. pond; 65'/public highway,Alternative,"50'; 75'/wetlands, ponds, streams + rivers",Alternative
Frontage (ft),75'/existing pond village; 100'/extended; 200'/east brookfield,Alternative,300,Feet,20,Feet,,N/A,,Feet,,N/A,20,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A,2,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,,,,,,,No,,,
Elderly Housing Only,No,,No,,,,,,,,No,,,
Minimum Lot Size (acres),0.5 acre /existing pond village; 1 acre/extended pond village; 3/east brookfield,Alternative,5,Acres Per Treatment,,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A,,
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,N/A,,Units Per Acre,,N/A,,
Front Setback (ft),40,Feet,"65'; 50'/natural ponds; 75'/wetlands, streams + rivers",Feet,,Feet,,N/A,,Feet,50'; 75'/recreational ponds; 25'/general dev. pond; 65'/public highway,Alternative,,
Side Setback (ft),20'/existing pond village; 25'/extended village + east brookfield,Alternative,"50'; 75'/wetlands, streams + rivers",Feet,,Feet,,N/A,,Feet,50'; 75'/recreational ponds; 25'/general dev. pond; 65'/public highway,Alternative,,
Rear Setback (ft),20'/existing pond village; 25'/extended village + east brookfield,Alternative,"50'; 75'/wetlands, streams + rivers",Feet,,Feet,,N/A,,Feet,50'; 75'/recreational ponds; 25'/general dev. pond; 65'/public highway,Alternative,,
Frontage (ft),75'/existing pond village; 100'/extended; 200'/east brookfield,Alternative,300,Feet,,Feet,,N/A,,Feet,,N/A,,
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,N/A,,Percent,,N/A,,
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,N/A,,Percent,,N/A,,
