Abbreviated District Name,CD10,Units/Special,FHO,Units/Special,HAM,Units/Special,IND,Units/Special,MXU,Units/Special,NV,Units/Special,R1,Units/Special,R2,Units/Special,R5,Units/Special,SH,Units/Special,WSPA,Units/Special,WRC,Units/Special,WRR,Units/Special
County,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,,Orange,
Jurisdiction,Newbury,,Newbury,,Newbury,,Newbury,,Newbury,,Newbury,,Newbury,,Newbury,,Newbury,,Newbury,,Newbury,,Newbury,,Newbury,
Full District Name,Conservation and Natural Resource,,Flood Hazard Overlay,,Hamlet,,Industrial,,Mixed Use Commercial,,Newbury Village,,Rural 1,,Rural 2,,Rural 5,,Shoreland,,Water Supply Protection Area,,Wells River Commercial,,Wells River Residential,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,Yes,,Yes,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Nonresidential,,Primarily residential,,Nonresidential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Mixed with Residential,,Primarily residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
4+-Family Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
5+-Family Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Not Mentioned,,Prohibited,,Not Mentioned,,Prohibited,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
Notes - Write any explanations here.,,,,,,,,,,,,,,,,,,,"1-Family, 2-Family, and ADUs - conditional use approval when within 250 of water. 251-750 feet from water - underlying district regulations apply. ",,No underground structures such as new septic,,,,,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),10,Acres Per Treatment,,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,0.5,Acres Per Treatment,1,Acres Per Treatment,2,Acres Per Treatment,5,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,0.25,Acres Per Treatment,0.5,Acres Per Treatment
Front Setback (ft),65,Feet,,Feet,50,Feet,,Feet,65,Feet,25,Feet,65,Feet,65,Feet,65,Feet,65,Feet,,Feet,25,Feet,25,Feet
Side Setback (ft),50,Feet,,Feet,25,Feet,,Feet,25,Feet,10,Feet,25,Feet,25,Feet,50,Feet,10,Feet,,Feet,10,Feet,10,Feet
Rear Setback (ft),50,Feet,,Feet,25,Feet,,Feet,25,Feet,10,Feet,25,Feet,25,Feet,50,Feet,10,Feet,,Feet,10,Feet,10,Feet
Frontage (ft),500,Feet,,Feet,100,Feet,,Feet,150,Feet,50,Feet,100,Feet,200,Feet,300,Feet,100,Feet,,Feet,50,Feet,50,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
