Abbreviated District Name,RD,Units/Special,LD,Units/Special,MD,Units/Special,HD,Units/Special,MU,Units/Special,I,Units/Special,SLO,Units/Special
County,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,
Jurisdiction,Barton,,Barton,,Barton,,Barton,,Barton,,Barton,,Barton,
Full District Name,Resource District,,Low Density,,Medium Density,,High Density,,Mixed Use,,Industrial,,Shoreland Area Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,
Overlay District?,No,,No,,No,,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Overlay Not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Prohibited,,Overlay,
2-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Prohibited,,Overlay,
3-Family Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Public Hearing Required,,Overlay,
4+-Family Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Public Hearing Required,,Overlay,
5+-Family Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Public Hearing Required,,Overlay,
ADUs Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Overlay,
PRDs Allowed?,Prohibited,,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Public Hearing Required,,Allowed/Permitted (Hearing Not required),,Overlay,
Notes - Write any explanations here.,,,,,CLASS DESCRIPTIONS: A: Off-lot water supply AND sewage disposal. B: Off-lot water supply OR sewage disposal. C: On-lot water supply AND sewage disposal.,,,,,,,,The designated Shore Land Area includes all lands within 250 feet of lakes and ponds greater than 10 acres in size.,
1-Family Dimensions,,,Prohibited,,,,,,,,,,,
Minimum Lot Size (acres),10,Acres Per Treatment,2,Acres Per Treatment,A: 0.5; B: 1; C: 2,Alternative,0.162,Acres Per Treatment,0.162,Acres Per Treatment,,Acres Per Treatment,,N/A
Front Setback (ft),50,Feet,50,Feet,50,Feet,45,Feet,40,Feet,,Feet,,N/A
Side Setback (ft),20,Feet,20,Feet,A: 10; B&C: 15,Alternative,5,Feet,5,Feet,,Feet,,N/A
Rear Setback (ft),20,Feet,20,Feet,A: 10; B&C: 15,Alternative,5,Feet,5,Feet,,Feet,,N/A
Frontage (ft),400,Feet,150,Feet,A: 90; B: 100; C: 150,Alternative,70,Feet,50,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
2-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,,,No,,No,,No,,No,,,,No,
Elderly Housing Only,,,No,,No,,No,,No,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,2,Acres Per Treatment,A: 0.5; B: 1; C: 2,Alternative,0.162,Acres Per Treatment,0.162,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,1,Units Per Acre,A: 4; B: 2; C: 1,Alternative,12.3,Units Per Acre,12.3,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,Feet,50,Feet,50,Feet,45,Feet,40,Feet,,Feet,,N/A
Side Setback (ft),,Feet,20,Feet,A: 10; B&C: 15,Alternative,5,Feet,5,Feet,,Feet,,N/A
Rear Setback (ft),,Feet,20,Feet,A: 10; B&C: 15,Alternative,5,Feet,5,Feet,,Feet,,N/A
Frontage (ft),,Feet,150,Feet,A: 90; B: 100; C: 150,Alternative,70,Feet,50,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
3-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,,,,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,A: 0.5; B: 1; C: 2,Alternative,0.162,Acres Per Treatment,0.162,Acres Per Treatment,1,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,A: 6; B: 3; C: 1.5,Alternative,18.5,Units Per Acre,18.5,Units Per Acre,3,Units Per Acre,,N/A
Front Setback (ft),,Feet,,Feet,50,Feet,45,Feet,40,Feet,30,Feet,,N/A
Side Setback (ft),,Feet,,Feet,A: 10; B&C: 15,Alternative,5,Feet,5,Feet,15,Feet,,N/A
Rear Setback (ft),,Feet,,Feet,A: 10; B&C: 15,Alternative,5,Feet,5,Feet,10,Feet,,N/A
Frontage (ft),,Feet,,Feet,A: 90; B: 100; C: 150,Alternative,70,Feet,50,Feet,100,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,,,Yes,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,,,,,No,,No,,No,,No,,No,
Max. Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,Feet,,Feet,35,Feet,35,Feet,35,Feet,40,Feet,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,A: 0.5; B: 1; C: 2,Alternative,0.162,Acres Per Treatment,0.162,Acres Per Treatment,1,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,A: 8; B: 4; C: 2,Alternative,24.7,Units Per Acre,24.7,Units Per Acre,4,Units Per Acre,,N/A
Front Setback (ft),,Feet,,Feet,50,Feet,45,Feet,40,Feet,30,Feet,,N/A
Side Setback (ft),,Feet,,Feet,A: 10; B&C: 15,Alternative,5,Feet,5,Feet,15,Feet,,N/A
Rear Setback (ft),,Feet,,Feet,A: 10; B&C: 15,Alternative,5,Feet,5,Feet,10,Feet,,N/A
Frontage (ft),,Feet,,Feet,A: 90; B: 100; C: 150,Alternative,70,Feet,50,Feet,100,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
