Abbreviated District Name,LS,Units/Special,R-C,Units/Special,RL-1,Units/Special,RL-2,Units/Special,RL-3,Units/Special,IND/RES,Units/Special
County,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,
Jurisdiction,Jay,,Jay,,Jay,,Jay,,Jay,,Jay,
Full District Name,Lakeshore,,Residential-Commercial,,Rural Lands One,,Rural Lands Two,,Rural Lands Three,,Industrial/Residential,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Primarily residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),
2-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),
3-Family Allowed?,Prohibited,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,
4+-Family Allowed?,Prohibited,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,
5+-Family Allowed?,Prohibited,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,
ADUs Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
Notes - Write any explanations here.,,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,
Minimum Lot Size (acres),0.23,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment,1.84,Acres Per Treatment,10,Acres Per Treatment,3,Acres Per Treatment
Front Setback (ft),30,Feet,25,Feet,25,Feet,25,Feet,50,Feet,40,Feet
Side Setback (ft),25,Feet,15,Feet,25,Feet,25,Feet,50,Feet,30,Feet
Rear Setback (ft),15,Feet,25,Feet,25,Feet,50,Feet,50,Feet,40,Feet
Frontage (ft),100,Feet,100,Feet,150,Feet,200,Feet,500,Feet,300,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet
