Abbreviated District Name,CON,Units/Special,GR,Units/Special,UR,Units/Special,U-REC,Units/Special,C-B,Units/Special,PHO,Units/Special,LI,Units/Special,IND,Units/Special,SLC,Units/Special,FBCO,Units/Special
County,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,
Jurisdiction,Newport City,,Newport City,,Newport City,,Newport City,,Newport City,,Newport City,,Newport City,,Newport City,,Newport City,,Newport City,
Full District Name,Conservation,,General Residential,,Urban Residential,,Urban Recreational,,Commercial Zone B,,Public Health/Office,,Light Industrial,,Industrial,,Shoreland Control,,Form Based Code Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Nonresidential,,Nonresidential,,Overlay Not Affecting Use,,Overlay Not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Overlay,,Overlay,
2-Family Allowed?,Prohibited,,Public Hearing Required,,Allowed/Permitted (Hearing Not required),,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Overlay,,Overlay,
3-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Overlay,,Overlay,
4+-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Overlay,,Overlay,
5+-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Overlay,,Overlay,
ADUs Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Prohibited,,Prohibited,,Prohibited,,Overlay,,Overlay,
