Abbreviated District Name,NT,Units/Special
County,Orleans,
Jurisdiction,Newport Town,
Full District Name,Newport Town,
District Mapped,No,
Overlay District?,No,
Mapped But Extinct?,No,
Type of Residential District?,Mixed with Residential,
Affordable Housing District?,No,
Elderly Housing District?,No,
1-Family Allowed?,Allowed/Permitted (Hearing Not required),
2-Family Allowed?,Allowed/Permitted (Hearing Not required),
3-Family Allowed?,Public Hearing Required,
4+-Family Allowed?,Public Hearing Required,
5+-Family Allowed?,Public Hearing Required,
ADUs Allowed?,Allowed/Permitted (Hearing Not required),
Affordable Housing Allowed?,Not Mentioned,
PRDs Allowed?,Public Hearing Required,
Notes - Write any explanations here.,The Town of Newport is considered a single district which includes the unincorporated Village of Newport Center. Lot classifications: A) public water and sewer B) public water or sewer C) On-site water and sewer.,
1-Family Dimensions,,
Minimum Lot Size (acres),A: 0.75; B: 1; C: 2,Alternative
Front Setback (ft),40,Feet
Side Setback (ft),25,Feet
Rear Setback (ft),25,Feet
Frontage (ft),100,Feet
Max. Lot Coverage - Buildings (%),,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A
Minimum Parking Spaces,2,Spaces Per Unit
Max. Stories,,N/A
Max. Height (ft),35,Feet
Floor to Area Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A
2-Family Dimensions,,
Affordable Housing Only,No,
Elderly Housing Only,No,
Minimum Lot Size (acres),A: 0.75; B: 1; C: 2,Alternative
Maximum Density (units/acre),A: 2.67; B: 2; C; 1,Alternative
Front Setback (ft),40,Feet
Side Setback (ft),25,Feet
Rear Setback (ft),25,Feet
Frontage (ft),100,Feet
Max. Lot Coverage - Buildings (%),,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit
Max. Stories,,N/A
Max. Height (ft),35,Feet
Floor to Area Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A
3-Family Dimensions,,
Affordable Housing Only,No,
Elderly Housing Only,No,
Minimum Lot Size (acres),A: 0.75; B: 1; C: 2,Alternative
Maximum Density (units/acre),A: 4; B: 3; C: 1.5,Alternative
Front Setback (ft),40,Feet
Side Setback (ft),25,Feet
Rear Setback (ft),25,Feet
Frontage (ft),100,Feet
Max. Lot Coverage - Buildings (%),,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit
Connection to Sewer and/or Water Required,Yes,
Connection or Proximity to Public Transit Required,No,
Max. Stories,,N/A
Max. Height (ft),35,Feet
Floor to Area Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A
Max. Bedrooms,,N/A
4+-Family Dimensions,,Units/Special
Affordable Housing Only,,
Elderly Housing Only,,
Minimum Lot Size (acres),A: 0.75; B: 1; C: 2,Alternative
Maximum Density (units/acre),A: 5.33; B: 4; C: 2,Alternative
Front Setback (ft),40,Feet
Side Setback (ft),25,Feet
Rear Setback (ft),25,Feet
Frontage (ft),100,Feet
Max. Lot Coverage - Buildings (%),,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit
Connection to Sewer and/or Water Required,Yes,
Connection or Proximity to Public Transit Required,No,
Max. Stories,,N/A
Max. Height (ft),35,Feet
Floor to Area Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A
Max. Bedrooms,,N/A
Max. Units Per Building,,N/A
5+-Family Dimensions,,Units/Special
Affordable Housing Only,,
Elderly Housing Only,,
Minimum Lot Size (acres),A: 0.75; B: 1; C: 2,Alternative
Maximum Density (units/acre),A: 6.67; B: 5; C: 2.5,Alternative
Front Setback (ft),40,Feet
Side Setback (ft),25,Feet
Rear Setback (ft),25,Feet
Frontage (ft),100,Feet
Max. Lot Coverage - Buildings (%),,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit
Connection to Sewer and/or Water Required,Yes,
Connection or Proximity to Public Transit Required,No,
Max. Stories,,N/A
Max. Height (ft),35,Feet
Floor to Area Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A
Max. Bedrooms,,N/A
Max. Units Per Building,,N/A
Affordable Housing Specifications,,Units/Special
Definition,,
Elderly Housing Only,,
Minimum Lot Size (acres),,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet
Max. Bedrooms,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special
Employee or Family Occupancy Required,No,
Renter Occupancy Required,No,
Owner Occupancy Required,Yes,
Elderly Housing Only,No,
Minimum Lot Size (acres),1,Acres Per Treatment
Minimum Parking Spaces,2,Spaces Per Unit
Restricted to Only Primary Structure,No,
Max. ADU Size (%),30,Percent
Max. ADU Size (sq. ft.),,N/A
Max. Bedrooms,1,Bedrooms Per Unit
PRD Specifications,,Units/Special
Mobile or Manufactured Home Park,No,
Minimum Lot Size (acres),,N/A
Maximum Density (units/acre),,N/A
Max. Units,,
PUD Questions,,Units/Special
PUD required with Subdivision,,
PUD Threshold #,,
PUD Allowed,,
PUD requiring land conservation,,
Miscellaneous,,Units/Special
Base residential density (units/acre),,Units Per Acre
