Abbreviated District Name,RU,Units/Special,VIL,Units/Special,C-R,Units/Special,IND,Units/Special,VC,Units/Special,CBD,Units/Special,RCO,Units/Special
County,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,,Orleans,
Jurisdiction,Troy,,Troy,,Troy,,Troy,,Troy,,Troy,,Troy,
Full District Name,Rural District,,Village District,,Commercial-Residential District,,Industrial District,,Village Center District,,Central Business District,,River Corridor Overlay District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Mixed with Residential,,Mixed with Residential,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Overlay,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Overlay,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Overlay,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,,,,,,,,,,,"All development requires a permit from the ZA. Development within designated centers allowed if it is not closer to the river than pre-existing structures; otherwise, development must be located within 300' of pre-existing structures and accessory structures must be located directly behind and further from river than primary structure. If neither of those are met, the development must be proven to not be placed on land with a history of flood erosion, does not alter the river's width/depth/meander pattern, and does not require stream channelization. Full details in Section 204.7 of zoning bylaws.",
1-Family Dimensions,,,,,,,,,,,,,,
Minimum Lot Size (acres),5,Acres Per Treatment,0.29 acres/municipal water + sewer; 0.46/municipal water or sewer; 0.92/on-lot water + sewer,Alternative,1,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,0.11,Acres Per Treatment,,N/A
Front Setback (ft),40,Feet,30,Feet,50,Feet,,Feet,15,Feet,"aligned with adjacent properties, but no more than 15' from property line",Contextual,,N/A
Side Setback (ft),25,Feet,20,Feet,25,Feet,,Feet,10,Feet,5,Feet,,N/A
Rear Setback (ft),25,Feet,20,Feet,25,Feet,,Feet,15,Feet,15,Feet,,N/A
Frontage (ft),125,Feet,100,Feet,150,Feet,,Feet,80,Feet,60,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,N/A,n,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,N/A,n,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,,,No,,No,,,
Elderly Housing Only,No,,No,,No,,,,No,,No,,,
Minimum Lot Size (acres),5,Acres Per Treatment,0.29 acres/municipal water + sewer; 0.46/municipal water or sewer; 0.92/on-lot water + sewer,Alternative,1,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,0.11,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,N/A,,N/A
Front Setback (ft),40,Feet,30,Feet,50,Feet,,Feet,15,Feet,"aligned with adjacent properties, but no more than 15' from property line",Contextual,,N/A
Side Setback (ft),25,Feet,20,Feet,25,Feet,,Feet,10,Feet,5,Feet,,N/A
Rear Setback (ft),25,Feet,20,Feet,25,Feet,,Feet,15,Feet,15,Feet,,N/A
Frontage (ft),125,Feet,100,Feet,150,Feet,,Feet,80,Feet,60,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A
