Abbreviated District Name,VR,Units/Special,R1,Units/Special,R3,Units/Special,VC,Units/Special,SC,Units/Special,RC,Units/Special,RCO,Units/Special,S,Units/Special,FHO,Units/Special
County,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,
Jurisdiction,Londonderry,,Londonderry,,Londonderry,,Londonderry,,Londonderry,,Londonderry,,Londonderry,,Londonderry,,Londonderry,
Full District Name,Village Residential,,Rural Residential 1,,Rural Residential 3,,Village Commercial,,Service Commercial,,Recreation Commercial,,Resource Conservation Overlay,,Shoreland,,Flood Hazard Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Primarily residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,,,Public Hearing Required,,,
2-Family Allowed?,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,Allowed/Permitted (Hearing Not required),,,,Public Hearing Required,,,
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,,,Prohibited,,,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,,,Prohibited,,,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,,,Prohibited,,,
ADUs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Overlay,,Public Hearing Required,,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,,,Public Hearing Required,,,
Notes - Write any explanations here.,,,,,,,,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),1,,1,,3,,1,,1,,1,,,,10,,,
Front Setback (ft),15,,30,,40,,15,,50,,25,,,,50,,,
Side Setback (ft),10,,30,,50,,20,,50,,20,,,,50,,,
Rear Setback (ft),20,,30,,50,,30,,50,,30,,,,50,,,
Frontage (ft),75,,150,,300,,75,,150,,100,,,,200,,,
Max. Lot Coverage - Buildings (%),50,,10,,10,,50,,30,,50,,,,4,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,,,,,,,,,,,,,
Minimum Parking Spaces,2,,2,,2,,2,,2,,2,,,,2,,,
Max. Stories,,,,,,,,,,,,,,,,,,
Max. Height (ft),35,,35,,35,,35,,35,,35,,,,35,,,
Floor to Area Ratio,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,
2-Family Dimensions,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,No,,,,No,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,,,No,,,
