Abbreviated District Name,CON,Units/Special,VIL,Units/Special,RES,Units/Special,R-RES,Units/Special,COM/RES,Units/Special,R-COM/RES,Units/Special,FLOOD,Units/Special,HDRD,Units/Special,VDRD,Units/Special
County,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,
Jurisdiction,Wilmington,,Wilmington,,Wilmington,,Wilmington,,Wilmington,,Wilmington,,Wilmington,,Wilmington,,Wilmington,
Full District Name,Conservation,,Village,,Residential,,Resort - Residential,,Commercial/Residential,,Resort - Commercial/Residential,,Flood Hazard Area,,Historic Design Review District,,Village Design Review District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,Yes,,No,
Overlay District?,No,,No,,No,,No,,No,,No,,Yes,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Overlay not Affecting Use,,Overlay not Affecting Use,
Affordable Housing District?,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,No,,No,
Elderly Housing District?,No,,Yes,,No,,Yes,,Yes,,Yes,,No,,No,,No,
1-Family Allowed?,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
2-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Overlay,,Public Hearing Required,,Public Hearing Required,
4+-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Overlay,,Public Hearing Required,,Public Hearing Required,
5+-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Overlay,,Public Hearing Required,,Public Hearing Required,
ADUs Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Not Mentioned,,Not Mentioned,
Affordable Housing Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,,,,,,,,,,,All uses are conditional,,"Data is possibly off, currently unclear if both HDRD and VDRD are within the village district, and if they share the same dimensions",,"Data is possibly off, currently unclear if both HDRD and VDRD are within the village district, and if they share the same dimensions",
1-Family Dimensions,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),5,Acres Per Treatment,0.125,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,0.125,Acres Per Treatment,0.125,Acres Per Treatment
Front Setback (ft),40,Feet,20,Feet,40,Feet,40,Feet,40,Feet,40,Feet,,Feet,0,Feet,0,Feet
Side Setback (ft),25,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,,Feet,0,Feet,0,Feet
Rear Setback (ft),25,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,,Feet,0,Feet,0,Feet
Frontage (ft),500,Feet,150,Feet,150,Feet,150,Feet,150,Feet,150,Feet,,Feet,40,Feet,40,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,25,Percent,25,Percent,25,Percent,25,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),38,Feet,38,Feet,38,Feet,38,Feet,38,Feet,38,Feet,,Feet,38,Feet,38,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
2-Family Dimensions,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,No,,No,,No,,No,,No,,,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,No,,,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.125,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,0.125,Acres Per Treatment,0.125,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,2,Units Per Acre,1,Units Per Acre,1,Units Per Acre,1,Units Per Acre,1,Units Per Acre,,Units Per Acre,2,Units Per Acre,2,Units Per Acre
Front Setback (ft),,Feet,20,Feet,40,Feet,40,Feet,40,Feet,40,Feet,,Feet,0,Feet,0,Feet
Side Setback (ft),,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,,Feet,0,Feet,0,Feet
Rear Setback (ft),,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,,Feet,0,Feet,0,Feet
Frontage (ft),,Feet,150,Feet,150,Feet,150,Feet,150,Feet,150,Feet,,Feet,40,Feet,40,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,25,Percent,25,Percent,25,Percent,25,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,38,Feet,38,Feet,38,Feet,38,Feet,38,Feet,,Feet,38,Feet,38,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
3-Family Dimensions,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,No,,No,,No,,No,,No,,,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,No,,,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.125,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,0.125,Acres Per Treatment,0.125,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,2,Units Per Acre,1,Units Per Acre,1,Units Per Acre,1,Units Per Acre,1,Units Per Acre,,Units Per Acre,2,Units Per Acre,2,Units Per Acre
Front Setback (ft),,Feet,20,Feet,40,Feet,40,Feet,40,Feet,40,Feet,,Feet,0,Feet,0,Feet
Side Setback (ft),,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,,Feet,0,Feet,0,Feet
Rear Setback (ft),,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,,Feet,0,Feet,0,Feet
Frontage (ft),,Feet,150,Feet,150,Feet,150,Feet,150,Feet,150,Feet,,Feet,40,Feet,40,Feet
