Abbreviated District Name,RR,Units/Special,H,Units/Special,RC,Units/Special,F,Units/Special,RPA,Units/Special,HD,Units/Special,HE,Units/Special
County,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,
Jurisdiction,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,,Windham,
Full District Name,Rural Residential,,Hamlet,,Recreation Commercial,,Forest,,Resource Protection Area Overlay,,Historic District Overlay,,High Elevation Resource Protection Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,Yes,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,Yes,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,,,Mixed with Residential,,Nonresidential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,,,Allowed/Permitted (Hearing not required),,Prohibited,
2-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,,,Public Hearing Required,,Prohibited,
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,,,Public Hearing Required,,Prohibited,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,,,Public Hearing Required,,Prohibited,
5+-Family Allowed?,,,,,,,,,,,,,,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,,,Allowed/Permitted (Hearing not required),,Prohibited,
Affordable Housing Allowed?,,,Not Mentioned,,Not Mentioned,,Not Mentioned,,,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,,,Not Mentioned,,Not Mentioned,,Not Mentioned,,,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,Density: 1 dwelling per lot,,Density: one principal structure per lot,,,,Density: one principal structure per lot. Single Family dwelling requires state approved septic system.,,"Permitted and Conditional uses:  ""As allowed in the underlying zoning districts subject to site plan review by the Zoning Board of
Adjustment.""",,Density: One Dwelling with Accessory Structures per lot,,,
1-Family Dimensions,,,,,,,,,,,,,,
Minimum Lot Size (acres),1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,27,Acres Per Treatment,,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment
Front Setback (ft),73' from Windham Hill Road Route 121 or Route 11; 65' from others,Contextual,53’ minimum from Windham Hill Road; 45’ minimum from all otherroads,Contextual," 53’ minimum from Windham Hill Road, Route 121, Route 11; 45’ minimum from all other roads",Contextual,83’ minimum from Windham Hill Road Route 121 and Route 11; 75’ minimum from all other roads,Contextual,,Feet,53’ minimum from Windham Hill Road; 45’  from all other roads,Contextual,,Feet
Side Setback (ft),25,Feet,15,Feet,15,Feet,50,Feet,,Feet,15,Feet,,Feet
Rear Setback (ft),25,Feet,15,Feet,15,Feet,50,Feet,,Feet,15,Feet,,Feet
Frontage (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent
Minimum Parking Spaces,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,Feet,35,Feet,,Feet
Floor to Area Ratio,,N/A,,Ratio,,N/A,,N/A,,Ratio,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,N/A,,N/A,,Square Feet,,N/A,,Square Feet
2-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,,,,,No,,,
Elderly Housing Only,No,,No,,No,,,,,,No,,,
Minimum Lot Size (acres),1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),73' from Windham Hill Road Route 121 or Route 11; 65' from others,Contextual,53’ minimum from Windham Hill Road; 45’ minimum from all otherroads,Contextual," 53’ minimum from Windham Hill Road, Route 121, Route 11; 45’ minimum from all other roads",Contextual,,Feet,,Feet,53’ minimum from Windham Hill Road; 45’  from all other roads,Contextual,,Feet
Side Setback (ft),25,Feet,15,Feet,15,Feet,,Feet,,Feet,15,Feet,,Feet
Rear Setback (ft),25,Feet,15,Feet,15,Feet,,Feet,,Feet,15,Feet,,Feet
Frontage (ft),,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,Percent,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,Percent,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,Stories,,Stories,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet,,Feet,35,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,Ratio,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,N/A,,Square Feet
3-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,,,,,No,,,
Elderly Housing Only,No,,No,,No,,,,,,No,,,
Minimum Lot Size (acres),1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
