Abbreviated District Name,CHH,Units/Special,FH,Units/Special,SL,Units/Special
County,Windsor,,Windsor,,Windsor,
Jurisdiction,Plymouth,,Plymouth,,Plymouth,
Full District Name,Coolidge Homestead Historic Area Overlay,,Flood Hazard Protection Overlay,,Shoreland Area Overlay,
District Mapped,Yes,,Yes,,Yes,
Overlay District?,Yes,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,
Type of Residential District?,Primarily residential,,Nonresidential,,Overlay Not Affecting Use,
Affordable Housing District?,No,,No,,No,
Elderly Housing District?,No,,No,,No,
1-Family Allowed?,Public Hearing Required,,Prohibited,,Overlay,
2-Family Allowed?,Public Hearing Required,,Prohibited,,Overlay,
3-Family Allowed?,Public Hearing Required,,Prohibited,,Overlay,
4+-Family Allowed?,Public Hearing Required,,Prohibited,,Overlay,
5+-Family Allowed?,,,Prohibited,,,
ADUs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,"This district overlays the Rural Residential 5, Rural Residential 10, and Conservation 25 districts. The permitted and conditional uses in the underlying Districts are all conditional uses within this overlay area.",,New principal structures are prohibited in the overlay.,,"All uses remain the same, except setbacks now require 75 feet from the shoreline for all structures except boathouses, piers, docks, and floats.",
1-Family Dimensions,,,,,,
Minimum Lot Size (acres),,N/A,,,,N/A
Front Setback (ft),,N/A,,,75 feet from shoreline,Contextual
Side Setback (ft),,N/A,,,75 feet from shoreline,Contextual
Rear Setback (ft),,N/A,,,75 feet from shoreline,Contextual
Frontage (ft),,N/A,,,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,,,N/A
Minimum Parking Spaces,,N/A,,,,N/A
Max. Stories,,N/A,,,,N/A
Max. Height (ft),,N/A,,,,N/A
Floor to Area Ratio,,N/A,,,,N/A
Minimum Unit Size (sq. ft.),,N/A,,,,N/A
2-Family Dimensions,,,,,,
Affordable Housing Only,No,,,,No,
Elderly Housing Only,No,,,,No,
Minimum Lot Size (acres),,N/A,,,,N/A
Maximum Density (units/acre),,N/A,,,,N/A
Front Setback (ft),,N/A,,,75 feet from shoreline,Contextual
Side Setback (ft),,N/A,,,75 feet from shoreline,Contextual
Rear Setback (ft),,N/A,,,75 feet from shoreline,Contextual
Frontage (ft),,N/A,,,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,,,N/A
Max. Stories,,N/A,,,,N/A
Max. Height (ft),,N/A,,,,N/A
Floor to Area Ratio,,N/A,,,,N/A
Minimum Unit Size (sq. ft.),,N/A,,,,N/A
3-Family Dimensions,,,,,,
Affordable Housing Only,No,,,,No,
Elderly Housing Only,No,,,,No,
Minimum Lot Size (acres),,N/A,,,,N/A
Maximum Density (units/acre),,N/A,,,,N/A
Front Setback (ft),,N/A,,,75 feet from shoreline,Contextual
Side Setback (ft),,N/A,,,75 feet from shoreline,Contextual
Rear Setback (ft),,N/A,,,75 feet from shoreline,Contextual
Frontage (ft),,N/A,,,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,,,N/A
Connection to Sewer and/or Water Required,,N/A,,,,N/A
