Abbreviated District Name,RHO,Units/Special,RD,Units/Special,VD,Units/Special,FHO,Units/Special
County,Windsor,,Windsor,,Windsor,,Windsor,
Jurisdiction,Pomfret,,Pomfret,,Pomfret,,Pomfret,
Full District Name,Ridgeline and Hillside Conservation Overlay District,,Rural Residential,,South Promfret Village District,,Flood Hazard Overlay District,
District Mapped,Yes,,Yes,,Yes,,Yes,
Overlay District?,Yes,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,
Type of Residential District?,Overlay not Affecting Use,,Mixed with Residential,,Mixed with Residential,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,
1-Family Allowed?,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,
2-Family Allowed?,Overlay,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,
3-Family Allowed?,Overlay,,Public Hearing Required,,Public Hearing Required,,Overlay,
4+-Family Allowed?,Overlay,,Public Hearing Required,,Public Hearing Required,,Overlay,
5+-Family Allowed?,,,,,,,,
ADUs Allowed?,Not Mentioned,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Not Mentioned,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Not Mentioned,,Public Hearing Required,,Public Hearing Required,,Not Mentioned,
Notes - Write any explanations here.,"Prior to any zoning permit being issued in the RHO, a Visual Impact Approval by the PPC shall be  required, and for conditional uses, a separate conditional  use approval by the ZBA shall also be required prior to issuance of a zoning permit. ",,,,,,"Prior to any zoning permit being issued in the FHO, a Flood Hazard permit under the town’s separate Flood Hazard Area Regulations shall be required by the Town, or the ZA shall determine that no such permit is required.",
1-Family Dimensions,,,,,,,,
Minimum Lot Size (acres),,N/A,2,Acres Per Treatment,2,Acres Per Treatment,,N/A
Front Setback (ft),,N/A,65,Feet,45,Feet,,N/A
Side Setback (ft),,N/A,20,Feet,20,Feet,,N/A
Rear Setback (ft),,N/A,20,Feet,20,Feet,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,35,,35,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,
Minimum Lot Size (acres),,N/A,2,Acres Per Treatment,2,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,1,Units Per Acre,1,Units Per Acre,,N/A
Front Setback (ft),,N/A,65,Feet,45,Feet,,N/A
Side Setback (ft),,N/A,20,Feet,20,Feet,,N/A
Rear Setback (ft),,N/A,20,Feet,20,Feet,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,35,,35,,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,
Minimum Lot Size (acres),,N/A,2,Acres Per Treatment,2,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,1.5,Units Per Acre,1.5,Units Per Acre,,N/A
Front Setback (ft),,N/A,65,Feet,45,Feet,,N/A
Side Setback (ft),,N/A,20,Feet,20,Feet,,N/A
Rear Setback (ft),,N/A,20,Feet,20,Feet,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,No,,No,,No,,No,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,
Max. Stories,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,35,,35,,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,
Minimum Lot Size (acres),,N/A,2,Acres Per Treatment,2,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,2,Units Per Acre,2,Units Per Acre,,N/A
Front Setback (ft),,N/A,65,Feet,45,Feet,,N/A
Side Setback (ft),,N/A,20,Feet,20,Feet,,N/A
Rear Setback (ft),,N/A,20,Feet,20,Feet,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,No,,No,,No,,No,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,
Max. Stories,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,35,,35,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,,
Elderly Housing Only,,,,,,,,
Minimum Lot Size (acres),,,,,,,,
Maximum Density (units/acre),,,,,,,,
Front Setback (ft),,,,,,,,
Side Setback (ft),,,,,,,,
Rear Setback (ft),,,,,,,,
Frontage (ft),,,,,,,,
Max. Lot Coverage - Buildings (%),,,,,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,,,
Minimum Parking Spaces per Studio or 1BR,,,,,,,,
Minimum Parking Spaces per 2+ BR,,,,,,,,
Connection to Sewer and/or Water Required,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,
Max. Stories,,,,,,,,
Max. Height (ft),,,,,,,,
Floor to Area Ratio,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,
Max. Bedrooms,,,,,,,,
Max. Units Per Building,,,,,,,,
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,
Elderly Housing Only,,,,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,No,,No,,,
Renter Occupancy Required,,,No,,No,,,
Owner Occupancy Required,,,Yes,,Yes,,,
