Abbreviated District Name,VR,Units/Special,SSH,Units/Special,RR,Units/Special,UC,Units/Special,MULI,Units/Special,SFHA,Units/Special
County,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,
Jurisdiction,Stockbridge,,Stockbridge,,Stockbridge,,Stockbridge,,Stockbridge,,Stockbridge,
Full District Name,Village Residential,,Stockbridge School Hamlet,,Rural Residential,,Upland Conservation,,Mixed Use Light Industrial,,Special Flood Hazard Area Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Mixed with Residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,
Affordable Housing District?,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,
Notes - Write any explanations here.,,,,,,,,,,,"This district contains two subdistricts: inside the floodway and ouside the floodway but inside the flood plain. All new structures are prohibitted inside the floodway, and any new structure build outside of the floodway but in the flood plain requires a public hearing. The treatments listed are the regulations for outside the floodway but inside the floodplain.",
1-Family Dimensions,,,,,,,,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.5,Acres Per Treatment,1,Acres Per Treatment,10,Acres Per Treatment,1,Acres Per Treatment,,N/A
Front Setback (ft),40,Feet,40,Feet,50,Feet,50,Feet,50,Feet,,N/A
Side Setback (ft),15,Feet,15,Feet,25,Feet,25,Feet,25,Feet,,N/A
Rear Setback (ft),10,Feet,10,Feet,25,Feet,25,Feet,25,Feet,,N/A
Frontage (ft),100,Feet,100,Feet,100,Feet,400,Feet,100,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),20,Percent,20,Percent,20,Percent,2.5,Percent,20,Percent,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,1,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,No,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.5,Acres Per Treatment,1,Acres Per Treatment,10,Acres Per Treatment,1,Acres Per Treatment,,N/A
Maximum Density (units/acre),4,Units Per Acre,4,Units Per Acre,2,Units Per Acre,0.2,Units Per Acre,2,Units Per Acre,,N/A
Front Setback (ft),40,Feet,40,Feet,50,Feet,50,Feet,50,Feet,,N/A
Side Setback (ft),15,Feet,15,Feet,25,Feet,25,Feet,25,Feet,,N/A
Rear Setback (ft),10,Feet,10,Feet,25,Feet,25,Feet,25,Feet,,N/A
Frontage (ft),100,Feet,100,Feet,100,Feet,400,Feet,100,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),20,Percent,20,Percent,20,Percent,2.5,Percent,20,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,,,,
Elderly Housing Only,No,,No,,No,,No,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.5,Acres Per Treatment,1,Acres Per Treatment,10,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),6,Units Per Acre,6,Units Per Acre,3,Units Per Acre,0.3,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),40,Feet,40,Feet,50,Feet,50,Feet,,Feet,,N/A
Side Setback (ft),15,Feet,15,Feet,25,Feet,25,Feet,,Feet,,N/A
Rear Setback (ft),10,Feet,10,Feet,25,Feet,25,Feet,,Feet,,N/A
Frontage (ft),100,Feet,100,Feet,100,Feet,400,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),20,Percent,20,Percent,20,Percent,2.5,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,No,,No,,No,,No,,,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,,,,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
