Abbreviated District Name,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
County,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,
Jurisdiction,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,
Full District Name,Resource,,Rural Residential,,Low Density Residential,,Medium Density Residential,,High Density Residential,,Central Business,,Village Mixed Use,,Roadside Business,,Industrial,,Flood Hazard Overlay,,Downtown Design Review Overlay,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Mixed with Residential,,Primarily residential,,Mixed with Residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Nonresidential,,Overlay not Affecting Use,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,,Overlay,
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Overlay,,Overlay,
3-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Prohibited,,Overlay,,Overlay,
4+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Prohibited,,Overlay,,Overlay,
5+-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Prohibited,,Overlay,,Overlay,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Overlay,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Overlay,,Overlay,
Notes - Write any explanations here.,"This district consists of two subdistricts, RES-25 and RES-10, which will be listed as alternatives in that order for the following dimensional standards.",,,,,,"This district has 3 classes: (1) Municipal sewer and municipal or public water (2) Municipal sewer and individual water (3) Individual sewer and individual, municipal, or public water",,,,,,,,,,,,"All uses and structures shall be subject to flood hazard review as well as all other applicable municipal and state regulations (but does not require a public hearing) except agriculture and forestry, unimproved open space and recreational/ educational uses.",,,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),25; 10,Alternative,5,Acres Per Treatment,0.92,Acres Per Treatment,(1) 0.28 (2) 0.46 (3) 0.92,Alternative,0.05,Acres Per Treatment,0.02,Acres Per Treatment,0.02,Acres Per Treatment,0.46,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Front Setback (ft),50,Feet,50,Feet,40,Feet,(1) 30 (2) 40 (3) 40,Alternative,25,Feet,,N/A,10,Feet,60,Feet,,Feet,,N/A,,N/A
Side Setback (ft),50,Feet,50,Feet,30,Feet,(1) 12 (2) 20 (3) 30,Alternative,10,Feet,,N/A,10,Feet,20,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),75,Feet,75,Feet,40,Feet,(1) 30 (2) 30 (3) 40,Alternative,20,Feet,,N/A,20,Feet,40,Feet,,Feet,,N/A,,N/A
Frontage (ft),500; 400,Feet,300,Feet,150,Feet,(1) 75 (2) 100 (3) 150,Alternative,75,Feet,50,Feet,50,Feet,100,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,(1) 30 (2) 20 (3) 15,Alternative,40,Percent,90,Percent,75,Percent,20,Percent,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A
