Abbreviated District Name,COM,Units/Special,R3,Units/Special,R1,Units/Special,RLD,Units/Special,RMD,Units/Special,RHD,Units/Special,RO,Units/Special,CC,Units/Special,CLI,Units/Special,LC,Units/Special,INN,Units/Special,Conservation District,Units/Special,Flood Hazard District,Units/Special,Design Review District,Units/Special,Scenic Ridgeline District,Units/Special
County,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,,Windsor,
Jurisdiction,Woodstock,,Woodstock,,Woodstock,,Woodstock,,Woodstock,,Woodstock,,Woodstock,,Woodstock,,Woodstock,,Woodstock,,Woodstock,,Woodstock,,Woodstock,,Woodstock,,Woodstock,
Full District Name,Community,,Residential Three Acre,,Residential One Acre,,Residential Low Desnity,,Residential Medium Density,,Residential High Density,,Residential/Office,,Central Commercial,,Commercial/Light Industrial,,Light Commercial,,Inn,,Conservation District,,Flood Hazard District,,Design Review District,,Scenic Ridgeline District,
District Mapped,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Overlay District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,Yes,,Yes,,Yes,
Mapped But Extinct?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Type of Residential District?,Nonresidential,,Primarily residential,,Primarily residential,,Primarily residential,,Primarily residential,,Primarily residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Mixed with Residential,,Overlay not Affecting Use,,Nonresidential,,Overlay not Affecting Use,,Overlay not Affecting Use,
Affordable Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing District?,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
1-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
2-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
3-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
4+-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
5+-Family Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
ADUs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,
Notes - Write any explanations here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,0.18,Acres Per Treatment,0.125,Acres Per Treatment,0.125,Acres Per Treatment,0.125,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Front Setback (ft),,Feet,"80 ft on Routes 4, 12, or 106; 60 ft otherwise",Contextual,60,Feet,"50 ft on Routes 4, 12, and 106; 35 ft otherwise",Contextual,"35 ft on Routes 4, 12, and 106; 25 ft otherwise",Contextual,25,Feet,30,Feet,30,Feet,30,Feet,50,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,25,Feet,25,Feet,15,Feet,15,Feet,15,Feet,15,Feet,,N/A,15,Feet,15,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,25,Feet,25,Feet,25,Feet,20,Feet,20,Feet,,N/A,,N/A,,N/A,20,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
