id,created,updated,expired,type,abbrvname,name,mapped,extinct,overlay,jurisdiction_id,specialnotes,status,affordable_district,elderly_district,family1_treatment,family2_treatment,family3_treatment,family4_treatment,accessory_treatment,affordable_treatment,accessory_elderly_only,accessory_family_required,accessory_maxbedrooms,accessory_maxpercent,accessory_maxsqft,accessory_minlotacres,accessory_minparking,accessory_owner_required,accessory_primarystructure_only,accessory_renter_prohibited,affordable_definition,affordable_elderly_only,affordable_maxbedrooms,affordable_maxunitsperacre,affordable_maxunitsperbldg,affordable_minlotacres,affordable_minparking_1br,affordable_minparking_2br,affordable_minunitsqft,affordable_transit_required,affordable_water_required,family1_floorarearatio,family1_frontsetbackft,family1_maxheightft,family1_maxlotcoverage_building,family1_maxlotcoverage_buildingimpervious,family1_maxstories,family1_minlotacres,family1_minparking,family1_minunitsqft,family1_rearsetbackft,family1_sidesetbackft,family2_affordable_only,family2_elderly_only,family2_floorarearatio,family2_frontsetbackft,family2_maxheightft,family2_maxlotcoverage_building,family2_maxlotcoverage_buildingimpervious,family2_maxstories,family2_maxunitsperacre,family2_minlotacres,family2_minparking_1br,family2_minparking_2br,family2_minunitsqft,family2_rearsetbackft,family2_sidesetbackft,family3_affordable_only,family3_elderly_only,family3_floorarearatio,family3_frontsetbackft,family3_maxbedrooms,family3_maxheightft,family3_maxlotcoverage_building,family3_maxlotcoverage_buildingimpervious,family3_maxstories,family3_maxunitsperacre,family3_minlotacres,family3_minparking_1br,family3_minparking_2br,family3_minunitsqft,family3_rearsetbackft,family3_sidesetbackft,family3_transit_required,family3_water_required,family4_affordable_only,family4_elderly_only,family4_floorarearatio,family4_frontsetbackft,family4_maxbedrooms,family4_maxheightft,family4_maxlotcoverage_building,family4_maxlotcoverage_buildingimpervious,family4_maxstories,family4_maxunitsperacre,family4_maxunitsperbldg,family4_minlotacres,family4_minparking_1br,family4_minparking_2br,family4_minunitsqft,family4_rearsetbackft,family4_sidesetbackft,family4_transit_required,family4_water_required,plannedresidential_maxunits,plannedresidential_maxunitsperacre,plannedresidential_minlotacres,plannedresidential_mobilehome,plannedresidential_treatment,tooltipnotes,customfielddata,effectivedate,acres,nonresidential_type,jurisdiction,county,state
57060,2024/02/05,2024/02/21,,R,WHP,Wellhead Protection District,1,0,0,21,,done,0,0,hearing,prohibited,prohibited,prohibited,allowed,nomention,0,0,"1","30","500","10","2",1,,0,,,,,,,,,,,,,"75","35",,,,"10","2",,"50","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nomention,,"{""36_87"": ""250"", ""36_88"": """", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": """", ""37_93"": """", ""37_94"": """", ""37_95"": """", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/05,265.868181977121,,Berkshire,Franklin County,Vermont
57059,2024/02/05,2024/02/21,,M,RL,Rural Lands District,1,0,0,21,,done,0,0,allowed,allowed,prohibited,prohibited,allowed,nomention,0,0,"1","30","500","5","2",1,,0,,,,,,,,,,,,,"75","35",,,,"5","2",,"30","30",0,0,,"75","35",,,,,"5","2","2",,"30","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87 if served by water & sewer, 30 if not","2.9 units per acre if served by water & sewer, 1 unit per acre if not","5",1,hearing,,"{""36_87"": ""200"", ""36_88"": ""200"", ""36_89"": ""200"", ""36_90"": ""200"", ""36_91"": ""200"", ""37_92"": """", ""37_93"": """", ""37_94"": """", ""37_95"": """", ""38_96"": ""f"", ""38_97"": ""t"", ""38_98"": ""5"", ""38_99"": """", ""38_100"": ""75"", ""38_101"": ""30"", ""38_102"": ""30"", ""38_103"": """", ""38_104"": """", ""38_105"": ""2"", ""38_106"": ""2"", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/05,26306.2231130752,agindust,Berkshire,Franklin County,Vermont
57061,2024/02/05,2024/02/13,,X,FHA,Flood Hazard Area Overlay District,1,0,1,21,,done,0,0,prohibited,prohibited,prohibited,prohibited,nomention,nomention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nomention,New principal structures prohibited in Special Flood Hazard Areas. New structures of any kind prohibited in Floodways and River Corridors. Existing structures unaffected.,"{""36_87"": """", ""36_88"": """", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": """", ""37_93"": """", ""37_94"": """", ""37_95"": """", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/05,2013.22806207789,agindust,Berkshire,Franklin County,Vermont
57058,2024/02/05,2024/02/21,,M,EV,Extended Village District,1,0,0,21,,done,0,0,allowed,allowed,hearing,hearing,allowed,nomention,0,0,,"30","500","0.25 acres with water service; 0.5 acres without","2",1,0,0,,,,,,,,,,,,,"45","35",,,,"0.25 acres with water service; 0.5 acres without","2",,"15","15",0,0,,"45","35",,,,,"0.25 acres with water service; 0.5 acres without","2","2",,"15","15",,,,"45",,"35",,,,,"0.25 acres with water service; 0.5 acres without","2","2",,"15","15",0,0,,,,"45",,"35",,,,,,"0.25 acres with water service; 0.5 acres without","2","2",,"15","15",0,0,,,,,nomention,Senior multifamily dwellings are not subject to a public hearing,"{""36_87"": ""75"", ""36_88"": ""75"", ""36_89"": ""75"", ""36_90"": ""75"", ""36_91"": ""75"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": """", ""37_95"": """", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": """", ""38_99"": """", ""38_100"": ""45"", ""38_101"": ""15"", ""38_102"": ""15"", ""38_103"": """", ""38_104"": """", ""38_105"": ""2"", ""38_106"": ""2"", ""38_107"": ""f"", ""38_108"": ""f"", ""38_109"": """", ""38_110"": ""35"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/05,251.746908381398,commercial,Berkshire,Franklin County,Vermont
59744,2024/02/15,2024/02/21,,R,CON,Conservation,1,0,0,20,,done,0,0,hearing,prohibited,prohibited,prohibited,allowed,nomention,0,0,"1","30",,"10","2",1,0,0,,,,,,,,,,,,,"40","35",,,,"10","2",,"30","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nomention,ADU requires public hearing if it involves a new structure,"{""36_87"": ""140"", ""36_88"": """", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": """", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/15,3336.32476857553,,Franklin,Franklin County,Vermont
59746,2024/02/15,2024/02/21,,M,RR,Rural Residential/Agricultural,1,0,0,20,,done,0,0,allowed,allowed,hearing,hearing,allowed,nomention,0,0,"1","30",,"1.38","2",1,0,0,,,,,,,,,,,,,"40","35",,,,"0.92","2",,"30","30",0,0,,"40","35",,,,,"1.38","2","2",,"30","30",0,0,,"40",,"35",,,,,"1.38","2","2",,"30","30",0,0,0,0,,"40",,"35",,,,,,"1.38","2","2",,"30","30",0,0,"43","1.45","10",1,hearing,,"{""36_87"": ""140"", ""36_88"": ""140"", ""36_89"": ""140"", ""36_90"": ""140"", ""36_91"": ""140"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": """", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": ""1.38"", ""38_99"": """", ""38_100"": ""40"", ""38_101"": ""30"", ""38_102"": ""30"", ""38_103"": """", ""38_104"": """", ""38_105"": ""2"", ""38_106"": ""2"", ""38_107"": ""f"", ""38_108"": ""f"", ""38_109"": """", ""38_110"": ""35"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/15,19664.3687530946,commercial,Franklin,Franklin County,Vermont
59782,2024/02/15,2024/02/17,,M,FHO,Flood Hazard Overlay,1,0,1,20,,done,0,0,overlay,overlay,overlay,overlay,nomention,nomention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,nomention,New residential or non-residential structures are permitted in Special Flood Hazard Area and prohibited in the Floodway. Accessory structures and substantial improvements to existing structures are permitted in the whole district.,"{""36_87"": """", ""36_88"": """", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": """", ""37_93"": """", ""37_94"": """", ""37_95"": """", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": ""f"", ""38_108"": ""f"", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/15,3577.79120856218,commercial,Franklin,Franklin County,Vermont
59743,2024/02/15,2024/02/21,,M,VILL,Village,1,0,0,20,,done,0,0,allowed,allowed,hearing,hearing,allowed,nomention,0,0,"1","30",,"0.46 acres with off-lot water & wastewater, 0.92 acres without","2",1,0,0,,,,,,,,,,,,,"30","35",,,,"0.46 acres with off-lot water & wastewater, 0.92 acres without","2",,"15","15",0,0,,"30","35",,,,,"0.46 acres with off-lot water & wastewater, 0.92 acres without","2","2",,"15","15",0,0,,"35",,"35",,,,,"0.46 acres with off-lot water & wastewater, 0.92 acres without","2","2",,"15","15",0,0,0,0,,"35",,"35",,,,,,"0.46 acres with off-lot water & wastewater, 0.92 acres without","2","2",,"15","15",0,0,"43","1.45","10",1,hearing,,"{""36_87"": ""100"", ""36_88"": ""100"", ""36_89"": ""100"", ""36_90"": ""100"", ""36_91"": ""100"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": """", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": """", ""38_99"": """", ""38_100"": ""35"", ""38_101"": ""15"", ""38_102"": ""15"", ""38_103"": """", ""38_104"": """", ""38_105"": ""2"", ""38_106"": ""2"", ""38_107"": ""f"", ""38_108"": ""f"", ""38_109"": """", ""38_110"": ""35"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/15,678.762714312259,commercial,Franklin,Franklin County,Vermont
59745,2024/02/15,2024/02/21,,M,SR,Shoreland/Recreation,1,0,0,20,,done,0,0,hearing,hearing,prohibited,prohibited,allowed,nomention,0,0,"1","30",,"0.92","2",1,0,0,,,,,,,,,,,,,"40 ft from public road, 10 ft from private road","35",,,,"0.92","2",,"30","30",0,0,,"40 ft from public road, 10 ft from private road","35",,,,,"0.92","2","2",,"30","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nomention,,"{""36_87"": ""140"", ""36_88"": ""140"", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": """", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/15,2479.87021515471,commercial,Franklin,Franklin County,Vermont
57187,2024/02/07,2024/02/22,,R,RL1,Rural Lands 1,1,0,0,35,,done,0,0,allowed,allowed,prohibited,prohibited,allowed,nomention,0,0,"1","45",,,"2",1,0,0,,,,,,,,,,,,,"40","35",,,,"1","2",,"25","25",0,0,,"40","35",,,,,"1","2","2",,"25","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30","1","5",1,hearing,,"{""36_87"": ""150"", ""36_88"": ""150"", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""t"", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/07,9154.16024941817,,Sheldon,Franklin County,Vermont
57186,2024/02/07,2024/02/22,,M,IC,Industrial/Commercial,1,0,0,35,,done,0,0,hearing,hearing,prohibited,prohibited,allowed,nomention,0,0,"1","45",,,"2",1,0,0,,,,,,,,,,,,,"50","35",,,,"2","2",,"30","30",0,0,,"50","35",,,,,"2","2","2",,"30","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nomention,,"{""36_87"": ""200"", ""36_88"": ""200"", ""36_89"": ""200"", ""36_90"": ""200"", ""36_91"": ""200"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""t"", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": ""2"", ""38_99"": """", ""38_100"": ""50"", ""38_101"": ""30"", ""38_102"": ""30"", ""38_103"": """", ""38_104"": """", ""38_105"": ""2"", ""38_106"": ""2"", ""38_107"": ""f"", ""38_108"": ""f"", ""38_109"": """", ""38_110"": ""35"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/07,203.036226475081,indcom,Sheldon,Franklin County,Vermont
57189,2024/02/07,2024/02/22,,X,SPO,Source Protection Overlay,1,0,1,35,,done,0,0,hearing,prohibited,prohibited,prohibited,allowed,prohibited,0,0,"1","45",,,"2",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prohibited,ADUs only permitted where there is a pre-existing single-family home.,"{""36_87"": """", ""36_88"": """", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": """", ""37_93"": """", ""37_94"": """", ""37_95"": """", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/07,150.407484519941,protected,Sheldon,Franklin County,Vermont
57185,2024/02/07,2024/02/22,,M,VD,Village District,1,0,0,35,,done,0,0,allowed,allowed,hearing,hearing,allowed,nomention,0,0,"1","45",,,"2",1,0,0,,,,,,,,,,,,,"10","35",,,,"0.5","2",,"15","15",0,0,,"10","35",,,,,"0.5","2","2",,"15","15",0,0,,"10",,"35",,,,,"0.5","2","2",,"15","15",0,0,0,0,,"10",,"35",,,,,,"0.5","2","2",,"15","15",0,0,,,,,prohibited,,"{""36_87"": ""100"", ""36_88"": ""100"", ""36_89"": ""100"", ""36_90"": ""100"", ""36_91"": ""100"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""t"", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": ""0.5"", ""38_99"": """", ""38_100"": ""10"", ""38_101"": ""15"", ""38_102"": ""25"", ""38_103"": """", ""38_104"": """", ""38_105"": ""2"", ""38_106"": ""2"", ""38_107"": ""f"", ""38_108"": ""f"", ""38_109"": """", ""38_110"": ""35"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/07,530.069221659687,commercial,Sheldon,Franklin County,Vermont
