,Jurisdiction,County,Full District Name
0,Westford,Chittenden County,Common District
1,Westford,Chittenden County,Transect 1
2,Westford,Chittenden County,Transect 2
3,Westford,Chittenden County,Transect 3
4,Westford,Chittenden County,Transect 4
5,Westford,Chittenden County,Transect 5
6,Westford,Chittenden County,Flood Hazard Overlay
7,Westford,Chittenden County,Rural 10 District
8,Westford,Chittenden County,Rural 3 District
9,Westford,Chittenden County,Rural 5 District
10,Westford,Chittenden County,Village District
11,Westford,Chittenden County,Water Resources Overlay
12,Leicester,Addison County,Conservation District
13,Leicester,Addison County,Industrial District
14,Leicester,Addison County,Lake Shore Districts: L1
15,Leicester,Addison County,Lake Shore Districts: L2
16,Leicester,Addison County,Residential Agricultural District
17,Leicester,Addison County,Residential Agricultural Commercial District
18,Leicester,Addison County,Village District
19,Ripton,Addison County,Conservation
20,Ripton,Addison County,Flood and River Corridor Overlay Zone
21,Ripton,Addison County,Flood Hazard Overlay Zone
22,Ripton,Addison County,High Density Residential
23,Ripton,Addison County,Historic District
24,Ripton,Addison County,Institutional
25,Ripton,Addison County,Low Density Residential
26,Ripton,Addison County,Medium Density Residential
27,Ripton,Addison County,Neighborhood Commercial
28,Ripton,Addison County,Rare Species Overlay Zone
29,Ripton,Addison County,Rural Residential
30,Cornwall,Addison County,Conservation
31,Cornwall,Addison County,Low Density Residential
32,Cornwall,Addison County,Medium Density Residential
33,Cornwall,Addison County,Cornwall Village
34,Cornwall,Addison County,West Cornwall Village
35,Pittsford,Rutland County,Commercial
36,Pittsford,Rutland County,Conservation I
37,Pittsford,Rutland County,Conservation II
38,Pittsford,Rutland County,Industrial
39,Pittsford,Rutland County,Rural
40,Pittsford,Rutland County,Village
41,Milton,Chittenden County,Interstate Commercial District
42,Milton,Chittenden County,Downtown Business District
43,Milton,Chittenden County,Forestry/Conservation/Scenic Ridgeline District
44,Milton,Chittenden County,Light Industrial District
45,Milton,Chittenden County,General Industrial District
46,Milton,Chittenden County,Industrial Conservation District
47,Milton,Chittenden County,Milton Crossroads Marketplace Center District
48,Milton,Chittenden County,Milton Crossroads Marketplace West District
49,Milton,Chittenden County,Milton Crossroads Marketplace Municipal/Recreation District
50,Milton,Chittenden County,Checkerberry Commercial District
51,Milton,Chittenden County,Checkerberry Residential District
52,Milton,Chittenden County,Old Towne Residential/Commercial District
53,Milton,Chittenden County,Main Street District
54,Milton,Chittenden County,Checkerberry Neighborhood Center District
55,Milton,Chittenden County,Historic Neighborhood Center District
56,Milton,Chittenden County,Old Towne Residential District
57,Milton,Chittenden County,Medium Density Residential District
58,Milton,Chittenden County,Low Density Residential District
59,Milton,Chittenden County,Transitional Residential District
60,Milton,Chittenden County,Agricultural/Rural Residential District
61,Milton,Chittenden County,Shoreland Residential District
62,Milton,Chittenden County,Beaverbrook Residential District
63,Shelburne,Chittenden County,Commerce & Industry
64,Shelburne,Chittenden County,Commerce & Industry - South
65,Shelburne,Chittenden County,Conservation
66,Shelburne,Chittenden County,Floodplain & Watercourse Overlay
67,Shelburne,Chittenden County,Lakeshore Overlay
68,Shelburne,Chittenden County,Mixed Use District
69,Shelburne,Chittenden County,Museum
70,Shelburne,Chittenden County,Neighborhood Overlay
71,Shelburne,Chittenden County,Residential
72,Shelburne,Chittenden County,Rural
73,Shelburne,Chittenden County,Shelburne Falls Mixed Use
74,Shelburne,Chittenden County,Shelburne Road Form-Based Overlay
75,Shelburne,Chittenden County,Stormwater Overlay
76,Shelburne,Chittenden County,Village Center Mixed Use
77,Shelburne,Chittenden County,Village Core Overlay
78,Shelburne,Chittenden County,Village Design Review Overlay
79,Shelburne,Chittenden County,Village Residential
80,Montgomery,Franklin County,Conservation I
81,Montgomery,Franklin County,Conservation II
82,Montgomery,Franklin County,River Corridor
83,Montgomery,Franklin County,Rural Residential
84,Montgomery,Franklin County,Special Hazard Overlay
85,Montgomery,Franklin County,Village I
86,Montgomery,Franklin County,Village II
87,Arlington,Bennington County,Commercial-Industrial
88,Arlington,Bennington County,Commercial-Residential
89,Arlington,Bennington County,Commercial-Residential-Rural
90,Arlington,Bennington County,Forest and Recreation
91,Arlington,Bennington County,Planned Industrial
92,Arlington,Bennington County,Residential Rural
93,Arlington,Bennington County,Village-Residential District
94,Colchester,Chittenden County,Agricultural
95,Colchester,Chittenden County,Agricultural Mixed Use
96,Colchester,Chittenden County,Business
97,Colchester,Chittenden County,Commercial
98,Colchester,Chittenden County,Floodplain
99,Colchester,Chittenden County,General Development 1
100,Colchester,Chittenden County,General Development 2
101,Colchester,Chittenden County,General Development 3
102,Colchester,Chittenden County,General Development 4
103,Colchester,Chittenden County,Industrial
104,Colchester,Chittenden County,Lakeshore One
105,Colchester,Chittenden County,Lakeshore Two
106,Colchester,Chittenden County,Lakeshore Three
107,Colchester,Chittenden County,Lakeshore Four
108,Colchester,Chittenden County,Mobile Home Park
109,Colchester,Chittenden County,Residential One
110,Colchester,Chittenden County,Residential Ten
111,Colchester,Chittenden County,Residential Two
112,Colchester,Chittenden County,Residential Three
113,Colchester,Chittenden County,Residential Five
114,Addison,Addison County,Conservation District
115,Addison,Addison County,Flood Hazard Area Overlay District
116,Addison,Addison County,Low Density Residential/Agricultural District
117,Addison,Addison County,Recreational District
118,Addison,Addison County,Shoreland Residential District
119,Addison,Addison County,Village Neighborhood Commercial District
120,Goshen,Addison County,Residential Agricultural Conservation District
121,Goshen,Addison County,Village District
122,North Hero,Grand Isle County,Conservation
123,North Hero,Grand Isle County,Off Island
124,North Hero,Grand Isle County,Rural Lands
125,North Hero,Grand Isle County,Shorelands
126,North Hero,Grand Isle County,Village
127,Bristol,Addison County,Bristol Pond Camp
128,Bristol,Addison County,Commercial
129,Bristol,Addison County,Conservation
130,Bristol,Addison County,Downtown Design Review Overlay
131,Bristol,Addison County,High Density Residential
132,Bristol,Addison County,Rural Agriculture1
133,Bristol,Addison County,Rural Agriculture2
134,Bristol,Addison County,Rural Agriculture5
135,Bristol,Addison County,Recreational
136,Bristol,Addison County,"Residential, Office, Commercial"
137,Bristol,Addison County,Village Business
138,Bristol,Addison County,Village Mixed
139,Bristol,Addison County,Village Residential
